day,gurkor_logreturn,guitars_logreturn,slingshots_logreturn,stocks_logreturn,sugar_logreturn,water_logreturn,tranquillity_logreturn
2,0.0024605985476573553,0.007516442504282766,-0.0046910639929567625,0.0008463233043588123,0.004009671708038776,0.00041958570566865615,0.0014215871347943343
3,-0.0014746855660065002,-0.0005232464270336043,0.0005656104318938524,0.005976342372645165,-0.002501703241937783,-0.00027967875726867463,0.005815350798685218
4,-0.000862551389596393,-0.002494066142997939,-0.00416501823543167,0.0010593998143473777,-0.006318041043889815,0.00041945062413103405,-0.0021056743402767903
5,-0.0022258877524918537,0.0014456782303747156,0.0007602531165132289,0.00047716300987804577,0.0020317907556759236,0.00046558160752240355,0.0019305908942842962
6,0.0014851920381489586,0.004957455545503479,0.0018948305882773874,-0.0017783715391517254,0.0,0.000604510859928471,-0.0017547275665505814
7,0.0004939374793498264,-0.0010389825096579004,-0.002464895621215689,0.005767573726460869,-0.006638375297543136,-0.00018591373653030705,-0.00035179789846160367
8,0.0,0.004784593823846961,0.0,0.00919248186547519,0.006891682089152897,0.0,-0.0049553290224749
9,0.00049337634604968,-0.00348625359856631,-0.013518483031106499,-0.0038874648812460117,-0.0030494764161884285,0.0013924169731611175,-0.00017802602499905916
10,0.0017224166335102773,-0.0020792115448588083,-0.005527458929020028,0.0015308477177953031,0.0,0.00046314868621450225,0.0005338592951332513
11,0.003668049523603292,0.005436842461631058,0.0017843669644565135,0.004961065260937384,0.0,0.0005551272360903263,0.0019518885975223124
12,0.00024343861730480057,0.0001286226817940357,0.0027611912932945784,-0.00939378769182484,0.0020353615784990146,0.002029417159700577,0.0010609805323311466
13,0.0019426120481601484,-0.0005147194462099412,-0.0047442745649943175,-0.007573590664961739,-0.005877567251463538,0.001332404110446505,-0.0015924443741845424
14,0.004219410529345524,-0.004399922134830674,-0.0003977055973015244,-0.0028331297112019578,0.0002572072813722316,0.0002293122614677028,-0.001954284050802128
15,-0.002285449161879623,-0.002086077775659754,0.006711957405349274,-0.0031863822774787407,0.0,-0.0009179764185133641,-0.0007128347630773124
16,-0.0009659041666356238,0.0023461343594201544,0.0001958486986528099,-0.002164940673625307,0.0017961983496863514,0.0005510186595427162,-0.0005353949499558703
17,0.0004832206138604183,0.004654584997280203,0.0017586752208969393,-0.005890365227175464,-0.000256145381593903,0.0023797017453544757,-0.002148204620265967
18,0.0029212743456984796,0.0029478564068437475,0.0005846460141227768,-0.0020745865679077376,-0.001282997925427638,0.0024575044116161063,-0.0008982308929003945
19,-0.00048551651999490647,0.0019117909752963337,0.0038776550632018216,-0.0016369392589070382,0.0015391433070215295,-0.0008630927118878485,-0.007619396870191475
20,0.0021805626490759436,-0.0029348644328752753,0.0029815484038418633,-0.004168715597747495,-0.0020534056310585525,0.0013619951009331537,-0.001099480288256532
21,0.001206709534070123,-0.0016676518097796975,-0.0018249712038994898,0.004120248500568474,-0.002063160563773225,0.0003171851957282902,0.0009164267631423199
22,-0.002174497080860377,0.0005138060130839656,0.0007693438360959358,-0.00820833225119273,0.0028242720289515205,0.002026786326758609,-0.0012835396183945298
23,0.0006051198999089607,0.0029426458386018705,0.006106174147951495,-0.0005811665063746667,0.01508991917761928,-0.00013482521407230728,-0.002209217897809059
24,-0.0019393589889746047,0.0024159322018620926,0.0001894414345867528,-0.001671520139998708,0.009534570835991045,-0.0008098314450847841,0.0012900757940852423
25,-0.0012165119492146958,0.0006335442143258918,0.0018898832342920413,0.00953872555096651,0.000483355065923714,0.0018424233497142228,-0.004253290577879949
26,-0.00012183882304631724,-0.0010141148376890247,0.00037699176143577936,-0.008910881389047864,0.0014468458087137477,-0.00134734693971738,0.00037150941692607923
27,-0.003917000459307792,-0.007682296101628995,-0.003974830151856662,-0.0008564276330044813,0.0031183941021109486,-0.001983700864399416,0.0025917053668686307
28,-0.0014780314274000824,0.006792998914099174,0.003852069333549441,-0.004045678804845587,0.0011934453289453263,0.0006321609295228628,-0.002591705366868648
29,0.0030735760409557585,-0.0025509294010311718,-0.002344755085016269,-0.017228201197226817,-0.004071166395302773,-0.0005417958684601291,-0.0018607332744718617
30,0.0012233655466993732,-0.002403266699557883,-0.002357483163233982,-0.002196612859054459,0.006211138060019722,-0.0012668250979955547,0.0005590575522953117
31,0.0021934111366539812,0.0007603640376551371,0.0012274882102889138,-0.009836512113331088,0.010312927762040961,-0.0004986940681515129,0.001115960738845113
32,-0.0007299068640850105,-0.0030494764161885742,-0.0028379178432444887,-0.001543250948560033,-0.0011596655272389461,-0.000272256501593945,0.0011131005202313668
33,0.0,-0.009409329966052043,-0.002379180278575078,-0.008478625191059313,0.003930293628432466,-0.0013183178569345629,0.006984149800706021
34,0.0015799173055196136,0.00026052459203759916,-0.0012423439574757921,-0.002963241199971617,-0.006025527034164315,-0.0008202836304566359,-0.005504439742657992
35,-0.0010931764510929828,0.0024672200174991497,-0.0021105582959870858,-0.000673014446178856,-0.00023342891285036695,0.0003647617910203928,-0.0007392248285237966
36,-0.0004021855670488034,0.001773169931479484,-0.0008663369140550978,-3.2966154318378655e-05,0.0014389740167716704,0.00015249815275606606,-0.0006171315684051909
37,0.00028880531699537596,0.0010791198454598182,0.0003778844678768902,0.0006070821375420987,0.0031113769463937077,-5.976548550826069e-05,-0.0004950383082865852
38,0.0009797962010395555,0.00038506975944015235,0.0016221058498088784,0.0012471304294025762,0.0047837798760157445,-0.00027202912377258747,-0.00037294504816797955
39,0.0012216449177808904,0.00472133218391828,0.00047593920588287475,0.00933792613378551,-0.002727132866424337,-0.0005445699546166792,-0.0041236730191706915
40,-0.00012200996903056669,-0.003952215426995229,0.003128185062942202,0.008992080743254572,-0.008518108117563731,-0.0010456715948072139,-0.002834213769282774
41,-0.0004883829380593811,-0.003600922463450436,-0.003128185062942238,0.004961372534509715,0.00646146110797228,-0.0015504019389672866,0.0013249351628687519
42,-0.002204545251034661,-0.0012933138858157555,-0.008162767872174001,0.002880141343655032,0.014417738354429267,0.0012316536810605104,0.000566594316377147
43,0.001470939532841343,-0.001947221085592205,0.0,-0.005374638639541537,0.0030910769771411947,0.0,-0.0030304142627740915
44,0.0017098230034232598,0.002206192161782981,-0.002625318866920924,0.0006987352392967642,-0.002426848733611029,0.0022716574542127484,-0.005547109094564876
45,0.00036551648831965075,-0.004162183226299444,0.0014604693123485167,-0.005651078151855494,0.0078924945181103,0.0011765826233093623,-0.0007707091319958106
46,0.002913109738983564,0.0023461343594197706,-0.002143706080599709,0.0001400504401950474,0.0028151822657732717,-0.0001355969668843015,0.0036487480404263587
47,0.0,0.0,0.0,0.0002067094533971722,-0.0012970476994904176,0.0,0.0
48,0.0009667104312147863,0.0,0.00447028922644856,-0.0013387694795910028,-0.0013009330204180102,0.0,0.0
49,-0.000603941804884954,0.003753425233207402,0.002698687221961555,0.0018988617660642146,0.018492453401472597,0.001849504094414328,0.00133658552334633
50,0.0009659041666371782,-0.001032191767886178,0.0011514663799775922,-0.002976516387440977,-0.005233788117956475,-0.0010816804642861358,0.0037963046091849272
51,0.0008434074986191208,0.0,-0.002209665884788788,-0.002670711527453515,0.003565828383971561,4.512384874748069e-05,-0.005706974131397529
52,-0.0006022667473355211,0.0019333515319593945,-0.0013505392373232815,-0.007535395951274913,-0.00971711069343067,0.00013534342245552066,-0.00076662770463498
53,0.0007226199369377511,0.0026923138976151307,-0.0026165316256758415,0.009244673349413552,-0.003431480425273599,0.00027056037542135946,-0.003273350097104887
54,0.0001203198461519181,-0.0029495973659833326,-0.0010705303573951142,0.00724807024063064,-0.004762998189997812,-0.0012640596754693073,-0.002714349347690708
55,0.00036075966236383223,-0.004007508400064602,0.0016533456744344613,-0.006701035438371004,0.0004351648479349863,-0.0017214156586087377,0.004257823142541376
56,0.0009605632489887387,0.0027187997930168493,-0.0021408240979402453,0.002024804699804878,-0.006352970775379873,0.0026698051708289147,-0.006597987665505358
57,-0.001080783175544037,-0.006370546681759832,-0.00019514468173909385,-0.004073554384408531,0.0028593814432247315,-0.0025790340383210035,0.0001954960563745297
58,-0.0010834795188981953,-0.00302279116632794,-0.0056976795388960525,0.008719836671182576,-0.0013173755760678722,-0.0020925510440011996,0.005438463506513956
59,-0.0021751021187506824,-0.002513055635985119,0.001973172326117609,-0.002700669720937073,0.012997313598759873,0.0005923959015929062,0.003077387416015651
60,-0.00012115901373055362,0.000927555310124801,0.0009832344745420063,-0.006660924137929482,0.005513578217974005,-0.0013226095782924428,0.0009572286923568141
61,0.001451682071103721,-0.0022560803042241118,0.001764231871924853,-0.00014300261845709146,0.0,-0.0023357840198552624,-0.004614061800606204
62,-0.001451682071103682,0.0013285249940993332,0.0019518885975217362,0.008844991268426378,0.006068294331841079,0.0004131110956877556,0.003465133929722003
63,0.0025372680653589106,0.0010599016411515921,0.0034914438488631593,-0.0036792070008584634,0.0,0.0,0.0
64,0.0006019328502120081,-0.0042552157382001275,0.0047075849969814365,0.0037072448193478523,0.0,0.0006876464442433861,0.005714483524429586
65,-0.0001203198461519176,0.0019998246322183786,0.0033315904458831513,-0.005295237629691537,0.0,0.0012807008220707557,0.0048924505826374205
66,0.000721419571043427,-0.0033381754044803603,-0.00037946221890138487,0.007683730675217099,-0.004595751689149413,-0.0020601157784153534,-0.0013117858401868912
67,-0.0006010997248915078,-0.002689138510781635,-0.0011403800387910388,-0.0006159220178790316,0.002930190752612449,0.00013764549750285777,-0.0068096348726496185
68,0.000961360618136297,0.001884143874551515,0.002939879975953291,0.0005508951898142043,0.002910553137171901,-0.0002294334048307213,0.0036072754519449286
69,0.0,0.0,-0.00047283018486896344,-0.0006763592925467187,0.0008280164222298788,0.00064210833818101,0.0013214795561482886
70,-0.0007208208823277673,0.004542032289995575,0.00018919385265580072,-0.011564685059959272,-0.00793063378642136,0.0016467895599078636,-0.0003771554574013052
71,-0.0016865826319340275,0.0026497610076348524,-0.004467991831930748,-0.0014431348522053143,-0.00021066916828464216,-0.00022834770067224099,0.0026332357616254123
72,-0.00048308623657827306,-0.001853133792089755,9.554383096554785e-05,-0.006701128366588446,-0.0019006353394341608,-0.0015101135180251646,-0.003388530703132422
73,-0.001573751761051268,-0.0005309224156369548,0.0005728219980631054,0.011243308824230327,0.001689863929374208,-0.0001375437800577601,-0.0018940042312798077
74,-0.0012144708191227601,-0.00333305152389779,0.0015238418507765785,-0.004846081461965308,-0.008300906853849002,-0.0012858469257187144,0.0003794622189012881
75,0.0014569579733286566,-0.0022811750863552622,0.00322051909483293,-0.003311694986097242,0.004276691200766586,-0.0011051927887465846,-0.00018968966534467168
76,0.00036347706005505784,0.0,0.003758521787274576,-0.005408982248875079,-0.0027750540547725275,0.0,-0.0009496931007325445
77,-0.0014557370565387968,0.001074986890201634,-0.002063160563773467,0.0004097526578805607,0.008062366522303212,-0.000923147296046917,0.0003801264854523205
78,0.0002429619542530825,-0.0018829768570350445,0.0015014517354330426,-0.006240207894011335,-0.0048619505511533,-0.0008788112223031757,-0.0026678990202814515
79,-0.00024296195425308907,0.003891433412927203,0.0014029122199581304,0.009639417841479783,0.005282167789456643,0.002400953707968005,0.0015265199614726691
80,0.0012134528204619402,0.0005340234080839385,0.002699513562607282,-0.0007913157461695868,0.00521869391678183,-0.0011064833549691466,0.0028478428728263365
81,0.00012115901373054065,0.0030579563302698693,-0.00018563560098979173,0.008894792637588552,-0.002705893375925322,0.0017046535257891173,-0.00018927630803144618
82,-0.0012131138667193172,-0.002791190669607105,-0.003542236918253143,0.0021341490596202555,0.0020829511482928285,-0.0015200437538687907,-0.0013272489585003516
83,0.0,0.0,0.0,-0.011636584313536253,-0.008180625742688108,0.0,0.0
84,0.003147075234186498,0.00026660190027101864,0.005764644234040041,0.004575057991011517,0.0029543956240537742,-0.0012939193965108772,0.0005693177331390046
85,0.00036582437813951417,0.0010647740102929638,0.00018468827916006842,-0.0030883595317952994,0.002516440542679084,0.001016975302587682,0.000568572390051098
86,0.0013387258186105938,0.0006641605238483823,-0.0029644789637380833,0.011799062039144098,0.004782798198820137,-0.00018472755782679429,0.002455248228741495
87,-0.002803875868010966,0.0010605487123934313,-0.0016764551536320841,-0.0016897833268347813,-0.0024664211026940316,-0.001527007902372405,0.0041236730191707175
88,0.0009773157022319517,0.007742575342691417,-0.003090410432005909,0.017682299956675245,-0.0014452408741810745,-0.00032460215843773153,0.005376606546472775
89,-0.000977315702231988,-0.0005205808018028925,-0.003870490514835726,-0.008103173606712304,-0.005829543660723551,0.0,0.0007364045544030451
90,0.0012213013726390287,0.0042762445750442095,0.00047386200217040705,-0.0033717881229265506,0.0,0.0,0.001469073644038229
91,-0.00012197570137812897,0.0,-0.0005686964783425627,0.00321410306549096,-0.0002096521797427557,0.0,0.0014641210054153484
92,0.0029180030172130133,0.0007729954254943992,0.0005686964783425892,-0.014521615774998997,-0.0012600429010329289,0.003035107207403516,-0.003669599203856664
93,0.00024228423607582263,-0.000257512300401592,0.0008461200505420432,-0.00551366914710958,-0.0025311066218284242,0.0011441454583753657,-0.0016614899487466682
94,0.0006051198999095385,0.0003862112143388719,0.001031913068043124,-0.0006033152690566644,-0.006393066599786791,-0.0004115452097517994,0.0018457081834935376
95,0.0001209228691933431,0.0005055815261360402,-9.370902655905459e-05,-0.001444744571888589,-0.004098165575596316,-9.150747650886437e-05,0.0009199208732986986
96,0.00036256672363377837,-0.003551493358535707,0.0014969234359970762,-0.004942026423269506,-0.0010849230770915111,-0.00036622283768378587,-0.0005517186622625413
97,-0.0008464603468468153,0.0005091377862169106,-0.0028109773338285708,-0.00434383868191719,-0.002396414056822989,0.0019192337884145975,0.00036789030738933556
98,0.001208724637478936,0.004303740373960399,-0.00018804697496773486,-0.0013883357584730006,-0.013309350494482328,0.0002279162906697926,0.008737149297372179
99,0.0,-0.0007563911611335491,-0.0010357163284777865,-0.0044065156742232135,0.007591973477117708,-0.0005928313268674463,-0.0009019618650172302
