asset,method,alpha,MAE,RMSE,MAPE,bias,coverage_95,n_trials_used
guitars,ridge_adjusted_bridge,0.1,0.032614788330725446,0.04678814224932076,0.008161328629380994,-6.39195315134362e-05,0.9828,200
gurkor,ridge_adjusted_bridge,0.1,0.0190575839711664,0.026407390658272602,0.0026917508405492137,0.0013609200274340356,0.9793999999999999,200
slingshots,ridge_adjusted_bridge,0.1,0.022604587598522234,0.030818220445977592,0.008826256413285037,0.002178649809409489,0.9681000000000001,200
stocks,ridge_adjusted_bridge,100.0,0.12773019199615154,0.16803381173270399,0.014631771509845255,-0.004485105722940841,0.9453,200
sugar,ridge_adjusted_bridge,0.1,0.03707770208656627,0.04859669703532409,0.011917595685021232,3.884190406403576e-05,0.9641000000000001,200
tranquillity,ridge_adjusted_bridge,100.0,0.10362578141905189,0.14157683070317723,0.011066465508914677,-0.012749388682896844,0.9554,200
water,ridge_adjusted_bridge,0.1,0.010464881767857983,0.014012039554220233,0.002309042632110156,-0.0010669022103430897,0.9878,200
